Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Beae product countdown end at (product.metafields.beae.countdown),Beae product countdown start at (product.metafields.beae.countdown_from),Bought together products (product.metafields.globo--filter--product_recommendation.bought_together_products),Complementary products (product.metafields.globo--filter--product_recommendation.complementary_products),Related products (product.metafields.globo--filter--product_recommendation.related_products),Product rating count (product.metafields.reviews.rating_count),Accessory size (product.metafields.shopify.accessory-size),Additional animation software features (product.metafields.shopify.additional-animation-software-features),Age group (product.metafields.shopify.age-group),Allergen information (product.metafields.shopify.allergen-information),Color (product.metafields.shopify.color-pattern),Fat content (product.metafields.shopify.fat-content),License type (product.metafields.shopify.license-type),Operating system (product.metafields.shopify.operating-system),Target gender (product.metafields.shopify.target-gender),User type (product.metafields.shopify.user-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Lithuania,Price / Lithuania,Compare At Price / Lithuania,Included / International,Price / International,Compare At Price / International,Status
saphir-etalon-noir-leather-oil,Saphir Etalon Noir Leather Oil,"<p>Introducing Saphir Etalon Noir, a premium leather oil that deeply nourishes and moisturizes your leather goods, restoring their softness and suppleness. This high-quality oil is designed to penetrate deeply into the leather, conditioning and protecting it from dryness, cracking, and fading.</p>
<p><strong>Key Features:</strong></p>
<ul>
<li>
<strong>Deeply moisturizing</strong>: Saphir Etalon Noir is formulated with a unique blend of oils that deeply nourish and moisturize your leather goods, leaving them feeling soft and supple.</li>
<li>
<strong>Protects against dryness and cracking</strong>: This oil helps to prevent dryness and cracking by locking in moisture and maintaining the leather's natural elasticity.</li>
<li>
<strong>Suitable for various leather types</strong>: Saphir Etalon Noir is suitable for use on a wide range of leather types, including shoes, belts, bags, and more.</li>
<li>
<strong>Free from paraffin</strong>: This oil is free from paraffin, which means it won't leave a sticky residue on your leather goods.</li>
</ul>
<p><strong>Benefits:</strong></p>
<ul>
<li>Restores leather's natural softness and suppleness</li>
<li>Prevents dryness and cracking</li>
<li>Maintains leather's natural elasticity</li>
<li>Leaves a pleasant, non-greasy finish</li>
</ul>",Saphir,Home & Garden > Household Supplies > Shoe Care & Tools > Shoe Polishes & Waxes > Shoe Polishes,"","Autumn, Restore, Reviver, Shoe Care, summer",true,Title,Default Title,,,,,,,,,0.0,shopify,25,continue,manual,21.99,24.89,true,true,,https://cdn.shopify.com/s/files/1/0922/4883/4388/files/Saphir-Etalon-Noir-odos-minkstiklis.jpg?v=1736452769,1,"",false,,,,,,,,,,,,,,,,,,,,,,,milk,,full-fat,,,,,,,,,,kg,,,true,,,true,,,active
saphir-etalon-noir-leather-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0922/4883/4388/files/download_c46d1500-babc-4508-b090-aebb9ee76d59.jpg?v=1738851727,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saphir-leather-lotion,Saphir Leather Lotion,"<p>Indulge your fine leather shoes in the ultimate care experience with Lotion Saphir Medaille d'Or Leather Lotion. This exquisite French-made formula has been crafted to gently cleanse, moisturize, nourish, and protect your leather shoes, leaving them with a soft touch and a radiant natural shine.</p>
<p>Our lotion is designed to make application effortless, ensuring a quick and easy way to keep your leather shoes looking their best. With regular use, you can expect to see:</p>
<ul>
<li>A soft, supple texture that enhances the natural beauty of your leather shoes</li>
<li>A natural shine that adds depth and character to your footwear</li>
<li>Long-lasting protection against dryness and cracking</li>
<li>A fragrance that is subtle and sophisticated, perfect for everyday wear</li>
</ul>
<p><strong>Key Features:</strong></p>
<ul>
<li>Gently cleanses and moisturizes leather</li>
<li>Nourishes and protects against dryness and cracking</li>
<li>Easy to apply, with a soft and subtle fragrance</li>
<li>Made in France with high-quality ingredients</li>
<li>Leaves a natural shine and soft texture on leather</li>
</ul>",Saphir,Home & Garden > Household Supplies > Shoe Care & Tools > Shoe Polishers,"","Autumn, Protect, Restore, Reviver, Shoe Care, Spring",true,Title,Default Title,,,,,,,,,0.0,shopify,25,continue,manual,15.99,18.59,true,true,,https://cdn.shopify.com/s/files/1/0922/4883/4388/files/saphir-lotion.jpg?v=1736452621,1,"",false,,,,,,,,,,,,,,,,,,,,,,,milk,,full-fat,,,,,,,,,,kg,,,true,,,true,,,active
saphir-leather-lotion,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0922/4883/4388/files/download_6558f400-3ca1-4ad4-a5e1-4b9e5704abd6.jpg?v=1738852180,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nano-shoe-impregnant-wax,Nano Shoe Impregnant Wax,"<p>Keep your shoes protected and looking their best with our<span> </span><strong>Nano Shoe Impregnant</strong>, a unique blend of three carefully selected waxes that provide long-lasting water-repellent protection and easy maintenance. This innovative product is designed to repel water and prevent stains, keeping your shoes in great condition for longer.</p>
<p>With the<span> </span><strong>Nano Shoe Impregnant</strong>, you can enjoy a hassle-free shoe care experience. Our product is easy to apply and provides a strong, long-lasting barrier against water and stains. The convenient travel-sized bottle and transport-friendly packaging make it easy to take with you wherever you go.</p>
<p><strong>Key Features:</strong></p>
<ul>
<li>Unique blend of three carefully selected waxes</li>
<li>Provides long-lasting water-repellent protection</li>
<li>Easy to apply and maintain</li>
<li>Convenient travel-sized bottle and transport-friendly packaging</li>
</ul>
<p><strong>Benefits:</strong></p>
<ul>
<li>Protects your shoes from water spots and stains</li>
<li>Easy maintenance and upkeep</li>
<li>Keeps your shoes looking new and fresh for longer</li>
<li>Convenient and portable</li>
</ul>
<p> </p>",Nano Care,Home & Garden > Household Supplies > Shoe Care & Tools > Shoe Polishes & Waxes > Shoe Waxes,"","Autumn, Protect, Repel, Shoe Care",true,Title,Default Title,,,,,,,,,0.0,shopify,25,continue,manual,14.99,17.99,true,true,,https://cdn.shopify.com/s/files/1/0922/4883/4388/files/nano-danga-vaskas-odinei-avalynei-impregnuoti.jpg?v=1736452971,1,"",false,,,,,,,,,,,,,,,,,,,,,,,milk,,full-fat,,,,,,,,,,kg,,,true,,,true,,,active
nano-shoe-impregnant-wax,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0922/4883/4388/files/61zsI7fgXNL._AC_SY575.jpg?v=1738852478,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nano-shoe-impregnant-wax,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0922/4883/4388/files/51VWO1ZbvgL._AC_SY575.jpg?v=1738852491,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nano-shoe-impregnant-wax,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0922/4883/4388/files/51VWO1ZbvgL._AC_SY575_20146739-0f89-4bcf-9395-1e4eccd3df39.jpg?v=1738852508,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domo-deodorant,Domo Deodorant,"<p>Are you tired of dealing with unpleasant odors in your shoes? Look no further! Our<span> Deodorant, preservative for sports shoes</span><span> </span>is a highly effective deodorant specifically designed for athletic shoes. With its 150ml capacity, this product is perfect for pre-season storage, ensuring your shoes remain fresh and odor-free throughout the off-season.</p>
<p><strong>Key Features:</strong></p>
<ul>
<li>
<strong>Long-lasting freshness</strong>: Our deodorant effectively eliminates unpleasant odors and has a long-lasting, refreshing effect.</li>
<li>
<strong>Antimicrobial properties</strong>: It protects against bacteria, fungi, and other microorganisms that can cause unpleasant odors.</li>
<li>
<strong>Easy to apply</strong>: The convenient spray nozzle allows for easy application, making it simple to reach those hard-to-reach areas.</li>
<li>
<strong>Suitable for all types of shoes</strong>: This deodorant is ideal for both natural and synthetic materials, ensuring effective odor control for all your shoes.</li>
</ul>
<p><strong>Benefits:</strong></p>
<ul>
<li>
<strong>Convenient and easy to use</strong>: Simply spray and let the deodorant work its magic.</li>
<li>
<strong>Long-lasting results</strong>: Say goodbye to unpleasant odors and hello to fresh, clean shoes.</li>
<li>
<strong>Protects against damage</strong>: Our deodorant helps prevent the growth of bacteria and fungi, which can damage your shoes over time.</li>
</ul>",Domo,Home & Garden > Household Supplies > Shoe Care & Tools,"","Autumn, Deodorant, Shoe Care, Spring, summer",true,Title,Default Title,,,,,,,,,0.0,shopify,25,continue,manual,6.69,7.99,true,true,,https://cdn.shopify.com/s/files/1/0922/4883/4388/files/dezodorantas-koncervantas-sportinei-avalynei-150-ml.jpg?v=1736453175,1,"",false,,,,,,,,,,,,,,,,,,,,,,,milk,,full-fat,,,,,,,,,,kg,,,true,,,true,,,active
domo-preventive-deodorant,Domo Preventive Deodorant,"<p>Our Prophylactic Foot Deodorant for Babies is a highly effective solution for maintaining baby foot hygiene. This gentle, long-lasting deodorant not only eliminates unpleasant odors but also protects against the development of bacterial and fungal infections.</p>
<p>Made from natural and synthetic materials, our deodorant is suitable for use on both natural and artificial baby feet. Its unique formula works to neutralize odors and provide a long-lasting, refreshing sensation. By using our Prophylactic Foot Deodorant for Babies, you can ensure your little one's feet stay fresh and healthy.</p>
<p><strong>Key Features:</strong></p>
<ul>
<li>Effectively eliminates unpleasant odors</li>
<li>Protects against bacterial and fungal infections</li>
<li>Long-lasting, refreshing formula</li>
<li>Suitable for natural and artificial baby feet</li>
<li>Gentle and non-irritating</li>
</ul>",Domo,Home & Garden > Household Supplies > Shoe Care & Tools,"","Autumn, Deodorant, Repel, Shoe Care, Spray, Spring, summer",true,Title,Default Title,,,,,,,,,0.0,shopify,25,continue,manual,6.69,7.99,true,true,,https://cdn.shopify.com/s/files/1/0922/4883/4388/files/profilaktinis-dezodorantas-batams-150-ml.jpg?v=1736453355,1,"",false,,,,,,,,,,,,,,,,,,,,,,,milk,,full-fat,,,,,,,,,,kg,,,true,,,true,,,active
coccine-skin-corrector,Coccine Skin Corrector,"<p>Restore your leather shoes and accessories to their former glory with our Skin Corrector (Concealer) for Shoes and Leather Goods. This innovative, water-based paint is specifically designed to effectively cover minor scuffs, scratches, and discoloration on natural and synthetic leather.</p>
<p><strong>Key Features:</strong></p>
<ul>
<li>Effectively conceals small imperfections on shoe surfaces, including color defects and scratches</li>
<li>Suitable for use on leather shoes, belts, wallets, and other leather products</li>
<li>Restores old, damaged leather products to their original appearance</li>
<li>Extends the lifespan of refurbished products</li>
<li>Available in a wide range of colors that can be mixed to achieve the perfect shade</li>
<li>Easy to use and apply, allowing for a rapid renewal of damaged surfaces</li>
<li>Offers an economic advantage by extending the life of your leather products</li>
</ul>
<p><strong>Benefits:</strong></p>
<ul>
<li>Gives your leather products a second life, saving you money on replacements</li>
<li>Easy to apply and use, even for those without prior experience with shoe care</li>
<li>Effective in covering minor damage and scratches</li>
<li>Offers a wide range of color options to match your style</li>
</ul>
<p><strong>Usage:</strong></p>
<ol>
<li>Clean the shoe surface thoroughly with Coccine's cleaning foam or universal dirt, stain, and salt cleaner.</li>
<li>Dry the surface and apply the Skin Corrector (Concealer) evenly with a brush in thin layers.</li>
<li>Allow the product to dry, repeating the process as needed.</li>
</ol>
<p><strong>Important:</strong></p>
<ul>
<li>Test the product on an inconspicuous area before use.</li>
<li>Keep out of reach of children and dispose of contents/container according to waste collection regulations.</li>
</ul>",Coccine,Home & Garden > Household Supplies > Shoe Care & Tools,"","Autumn, Repel, Restore, Reviver, Shoe Care, Spring",true,Title,Default Title,,,,,,,,,0.0,shopify,25,continue,manual,4.49,5.79,true,true,,https://cdn.shopify.com/s/files/1/0922/4883/4388/files/odos-maskuoklis-daziklis-juodos-spalvos-nr-02-coccine-10-ml-1.jpg?v=1736453531,1,"",false,,,,,,,,,,,,,,,,,,,,,,,milk,,full-fat,,,,,,,,,,kg,,,true,,,true,,,active
coccine-skin-corrector,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0922/4883/4388/files/odos-korektorius-maskuoklis-juodos-spalvos-nr-02-coccine-10-ml-1.jpg?v=1738853945,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domo-deodorant-for-sports-shoes,Domo Deodorant For Sports Shoes,"<p>Say goodbye to unpleasant odors in your sports baths with our effective deodorizing spray. This product is specifically designed for athletes, both men and women, to maintain hygiene and freshness after each use. Its gentle formula neutralizes odors and is safe to use on baths made of any material.</p>
<p>Our deodorizing spray is perfect for daily use, ensuring that your sports baths remain fresh and odor-free. Its unique formula penetrates deep into the material, providing a long-lasting effect against bad smells. You can trust that our product is safe and easy to use, with a quick and secure payment process.</p>
<p><strong>Key Features:</strong></p>
<ul>
<li>Gentle formula that neutralizes odors</li>
<li>Safe to use on baths made of any material</li>
<li>Perfect for daily use</li>
<li>Long-lasting effect against bad smells<br>
</li>
</ul>",Domo,Home & Garden > Household Supplies > Shoe Care & Tools,"","Autumn, Deodorant, Repel, Restore, Spray, summer",true,Title,Default Title,,,,,,,,,0.0,shopify,25,continue,manual,5.49,7.99,true,true,,https://cdn.shopify.com/s/files/1/0922/4883/4388/files/dezodorantas-sportinei-avalynei-neutralizuoja-kvapus-150-ml.jpg?v=1736453684,1,"",false,,,,,,,,,,,,,,,,,,,,,,,milk,,full-fat,,,,,,,,,,kg,,,true,,,true,,,active
collonil-brush,Collonil Brush,"<p>Take your shoe care routine to the next level with the Collonil Velours Boy, a premium brush designed to clean and roughen coarse fibers on your favorite leather shoes. Made in Germany, this exceptional tool is a must-have for anyone who wants to maintain the unique look and feel of their leather footwear.</p>
<p><strong>Key Features:</strong></p>
<ul>
<li>Effectively cleans and roughens coarse fibers for a flawless finish</li>
<li>Perfect for completing the cleaning process and reviving the natural beauty of your shoes</li>
<li>Ideal for all types of coarse leather shoes</li>
<li>Made with high-quality materials and craftsmanship</li>
</ul>
<p><strong>Benefits:</strong></p>
<ul>
<li>Enhance the appearance and durability of your shoes</li>
<li>Easy to use and gentle on the leather</li>
<li>Perfect for regular maintenance and upkeep</li>
</ul>",Collonil,Home & Garden > Household Supplies > Shoe Care & Tools > Shoe Brushes,"","Autumn, Brush, Protect, Restore, Shoe Care, Spring, summer",true,Title,Default Title,,,,,,,,,0.0,shopify,25,continue,manual,6.49,7.59,true,true,,https://cdn.shopify.com/s/files/1/0922/4883/4388/files/sepetys-zomsui-3-1.jpg?v=1736453850,1,"",false,,,,,,,,,,,,,,,,,,,,,,,milk,,full-fat,,,,,,,,,,kg,,,true,,,true,,,active
collonil-brush,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0922/4883/4388/files/618MOKhOAzL._AC_SX679.jpg?v=1738862633,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collonil-creme-de-luxe,Collonil Crème De Luxe,"<p>Indulge your shoes in the ultimate pampering experience with our Collonil 1909 Crème de Luxe Shoe Care Cream. This luxurious cream is part of the prestigious ""De Luxe"" series, designed to provide the highest level of care for your leather shoes.</p>
<p>Formulated with unique blends of high-quality oils and waxes, this cream deeply nourishes and moisturizes your shoes, restoring their natural color and luster. Its gentle, gel-like texture ensures a smooth application, while its subtle fragrance leaves a pleasant scent.</p>
<p><strong>Key Benefits:</strong></p>
<ul>
<li>Intensive moisturizing and nourishing for dry, cracked leather</li>
<li>Unique blend of high-quality oils and waxes for optimal protection</li>
<li>Gentle, gel-like texture for easy application</li>
<li>Restores natural color and luster to your shoes</li>
<li>Suitable for regular use to maintain optimal shoe care and extend lifespan</li>
</ul>
<p><strong>How to Use:</strong></p>
<ol>
<li>Apply a small amount of cream to a clean, dry shoe surface.</li>
<li>Gently massage the cream into the leather, allowing it to penetrate and dry.</li>
<li>Buff with a soft cloth or brush to achieve a rich, even finish.</li>
</ol>",Collonil,Home & Garden > Household Supplies > Shoe Care & Tools,"","Autumn, Restore, Shoe Care, Spring",true,Title,Default Title,,,,,,,,,0.0,shopify,25,continue,manual,8.99,9.89,true,true,,https://cdn.shopify.com/s/files/1/0922/4883/4388/files/1909-creme-de-luxe-1-1.jpg?v=1736454000,1,"",false,,,,,,,,,,,,,,,,,,,,,,,milk,,full-fat,,,,,,,,,,kg,,,true,,,true,,,active
